Benchmark,Original Gate Number
0410184_169.qasm,211
3_17_13.qasm,36
4_49_16.qasm,217
4gt10-v1_81.qasm,148
4gt11_82.qasm,27
4gt11_83.qasm,23
4gt11_84.qasm,18
4gt12-v0_86.qasm,251
4gt12-v0_87.qasm,247
4gt12-v0_88.qasm,194
4gt12-v1_89.qasm,228
4gt13_90.qasm,107
4gt13_91.qasm,103
4gt13_92.qasm,66
4gt13-v1_93.qasm,68
4gt4-v0_72.qasm,258
4gt4-v0_73.qasm,395
4gt4-v0_78.qasm,235
4gt4-v0_79.qasm,231
4gt4-v0_80.qasm,179
4gt4-v1_74.qasm,273
4gt5_75.qasm,83
4gt5_76.qasm,91
4gt5_77.qasm,131
4mod5-bdd_287.qasm,70
4mod5-v0_18.qasm,69
4mod5-v0_19.qasm,35
4mod5-v0_20.qasm,20
4mod5-v1_22.qasm,21
4mod5-v1_23.qasm,69
4mod5-v1_24.qasm,36
4mod7-v0_94.qasm,162
4mod7-v1_96.qasm,164
9symml_195.qasm,34881
adr4_197.qasm,3439
aj-e11_165.qasm,151
alu-bdd_288.qasm,84
alu-v0_26.qasm,84
alu-v0_27.qasm,36
alu-v1_28.qasm,37
alu-v1_29.qasm,37
alu-v2_30.qasm,504
alu-v2_31.qasm,451
alu-v2_32.qasm,163
alu-v2_33.qasm,37
alu-v3_34.qasm,52
alu-v3_35.qasm,37
alu-v4_36.qasm,115
alu-v4_37.qasm,37
C17_204.qasm,467
clip_206.qasm,33827
cm152a_212.qasm,1221
cm42a_207.qasm,1776
cm82a_208.qasm,650
cm85a_209.qasm,11414
cnt3-5_179.qasm,175
cnt3-5_180.qasm,485
co14_215.qasm,17936
con1_216.qasm,954
cycle10_2_110.qasm,6050
dc1_220.qasm,1914
dc2_222.qasm,9462
decod24-bdd_294.qasm,73
decod24-enable_126.qasm,338
decod24-v0_38.qasm,51
decod24-v1_41.qasm,85
decod24-v2_43.qasm,52
decod24-v3_45.qasm,150
dist_223.qasm,38046
ex-1_166.qasm,19
ex1_226.qasm,7
ex2_227.qasm,631
ex3_229.qasm,403
f2_232.qasm,1206
graycode6_47.qasm,5
ground_state_estimation_10.qasm,390180
ham15_107.qasm,8763
ham3_102.qasm,20
ham7_104.qasm,320
hwb4_49.qasm,233
hwb5_53.qasm,1336
hwb6_56.qasm,6723
hwb7_59.qasm,24379
hwb8_113.qasm,69380
hwb9_119.qasm,207775
inc_237.qasm,10619
ising_model_10.qasm,480
ising_model_13.qasm,633
ising_model_16.qasm,786
life_238.qasm,22445
majority_239.qasm,612
max46_240.qasm,27126
miller_11.qasm,50
mini_alu_305.qasm,173
mini-alu_167.qasm,288
misex1_241.qasm,4813
mlp4_245.qasm,18852
mod10_171.qasm,244
mod10_176.qasm,178
mod5adder_127.qasm,555
mod5d1_63.qasm,22
mod5d2_64.qasm,53
mod5mils_65.qasm,35
mod8-10_177.qasm,440
mod8-10_178.qasm,342
one-two-three-v0_97.qasm,290
one-two-three-v0_98.qasm,146
one-two-three-v1_99.qasm,132
one-two-three-v2_100.qasm,69
one-two-three-v3_101.qasm,70
plus63mod4096_163.qasm,128744
plus63mod8192_164.qasm,187112
pm1_249.qasm,1776
qft_10.qasm,200
qft_16.qasm,512
radd_250.qasm,3213
rd32_270.qasm,84
rd32-v0_66.qasm,34
rd32-v1_68.qasm,36
rd53_130.qasm,1043
rd53_131.qasm,469
rd53_133.qasm,580
rd53_135.qasm,296
rd53_138.qasm,132
rd53_251.qasm,1291
rd53_311.qasm,275
rd73_140.qasm,230
rd73_252.qasm,5321
rd84_142.qasm,343
rd84_253.qasm,13658
root_255.qasm,17159
sao2_257.qasm,38577
sf_274.qasm,781
sf_276.qasm,778
sqn_258.qasm,10223
sqrt8_260.qasm,3009
squar5_261.qasm,1993
square_root_7.qasm,7630
sym10_262.qasm,64283
sym6_145.qasm,3888
sym6_316.qasm,270
sym9_146.qasm,328
sym9_148.qasm,21504
sym9_193.qasm,34881
sys6-v0_111.qasm,215
urf1_149.qasm,184864
urf1_278.qasm,54766
urf2_152.qasm,80480
urf2_277.qasm,20112
urf3_155.qasm,423488
urf3_279.qasm,125362
urf4_187.qasm,512064
urf5_158.qasm,164416
urf5_280.qasm,49829
urf6_160.qasm,171840
wim_266.qasm,986
xor5_254.qasm,7
z4_268.qasm,3073
