Benchmark,Gate Cost,Time
0410184_169.qasm,571,0.004417
3_17_13.qasm,71,0.000137
4_49_16.qasm,372,0.000603
4gt10-v1_81.qasm,261,0.000487
4gt11_82.qasm,79,9.6E-05
4gt11_83.qasm,69,0.000296
4gt11_84.qasm,47,0.000105
4gt12-v0_86.qasm,419,0.000667
4gt12-v0_87.qasm,401,0.000815
4gt12-v0_88.qasm,322,0.00052
4gt12-v1_89.qasm,376,0.000584
4gt13_90.qasm,185,0.001212
4gt13_91.qasm,175,0.000304
4gt13_92.qasm,116,0.000436
4gt13-v1_93.qasm,118,0.00069
4gt4-v0_72.qasm,521,0.000739
4gt4-v0_73.qasm,705,0.004204
4gt4-v0_78.qasm,384,0.000668
4gt4-v0_79.qasm,369,0.001145
4gt4-v0_80.qasm,333,0.002015
4gt4-v1_74.qasm,495,0.002615
4gt5_75.qasm,121,0.000269
4gt5_76.qasm,166,0.000322
4gt5_77.qasm,225,0.000327
4mod5-bdd_287.qasm,145,0.000232
4mod5-v0_18.qasm,106,0.000329
4mod5-v0_19.qasm,62,0.000113
4mod5-v0_20.qasm,38,0.000201
4mod5-v1_22.qasm,39,5.4E-05
4mod5-v1_23.qasm,112,0.00071
4mod5-v1_24.qasm,56,9.6E-05
4mod7-v0_94.qasm,260,0.000638
4mod7-v1_96.qasm,248,0.000429
9symml_195.qasm,76042,0.096086
adr4_197.qasm,8609,0.009442
aj-e11_165.qasm,278,0.000474
alu-bdd_288.qasm,147,0.001336
alu-v0_26.qasm,142,0.000257
alu-v0_27.qasm,88,0.000115
alu-v1_28.qasm,63,0.000465
alu-v1_29.qasm,93,0.000192
alu-v2_30.qasm,954,0.005934
alu-v2_31.qasm,945,0.001162
alu-v2_32.qasm,320,0.000577
alu-v2_33.qasm,66,0.000327
alu-v3_34.qasm,96,0.000155
alu-v3_35.qasm,89,0.000116
alu-v4_36.qasm,198,0.0003
alu-v4_37.qasm,89,0.000136
C17_204.qasm,981,0.001271
clip_206.qasm,78405,0.094905
cm152a_212.qasm,2168,0.003353
cm42a_207.qasm,3669,0.004849
cm82a_208.qasm,1644,0.001859
cm85a_209.qasm,25188,0.031891
cnt3-5_179.qasm,735,0.000787
cnt3-5_180.qasm,1257,0.005933
co14_215.qasm,42290,0.050488
con1_216.qasm,2280,0.00397
cycle10_2_110.qasm,13793,0.03422
dc1_220.qasm,4766,0.018973
dc2_222.qasm,21792,0.026466
decod24-bdd_294.qasm,118,0.000706
decod24-enable_126.qasm,703,0.000895
decod24-v0_38.qasm,101,0.000217
decod24-v1_41.qasm,124,0.00024
decod24-v2_43.qasm,94,0.000131
decod24-v3_45.qasm,251,0.00087
dist_223.qasm,87028,0.1064
ex-1_166.qasm,41,4E-05
ex1_226.qasm,20,8.9E-05
ex2_227.qasm,1196,0.001688
ex3_229.qasm,623,0.001879
f2_232.qasm,2188,0.003293
